ID Code,Supplier,Fragrance Name,Base,Signal Word,CLP Data,Contains,Warning,Pictogram
CO1063,Cosy Owl,Green Pistachio Marshmallow,10% NH,Warning,"H412, P273, P501","COUMARIN, LIMONENE, LINALYL ACETATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",Harmful to aquatic life with long lasting effects.,
CO1064,Cosy Owl,Hot Apple Pie,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1065,Cosy Owl,Iron Brew,10% NH,,,"ETHYL METHYLPHENYLGLYCIDATE, HELIOTROPINE",,
CO1066,Cosy Owl,Jasmine,10% NH,Warning,"H317, H412, P273, P501",,May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
CO1067,Cosy Owl,Juicy Orange,10% NH,Warning,"H412, P273, P501","dLimonene, Geraniol (mixed isomers)",Harmful to aquatic life with long lasting effects.,
CO1068,Cosy Owl,Lady Million Type,10% NH,Warning,"H412, P273, P501",Iso E Super,Harmful to aquatic life with long lasting effects.,
CO1069,Cosy Owl,Lavender,10% NH,Warning,"H317, P501","COUMARIN, EUCALYPTOL",May cause an allergic skin reaction.,GHS07
CO1070,Cosy Owl,Lavender Chamomile,10% NH,Warning,"H317, P273, P501","COUMARIN, EUCALYPTOL",May cause an allergic skin reaction.,GHS07
CO1071,Cosy Owl,Lavender Patchouli,10% NH,Warning,"H317, P501","4-TERT-BUTYLCYCLOHEXYL ACETATE, COUMARIN, EUCALYPTOL, LINALYL ACETATE",May cause an allergic skin reaction.,GHS07
CO1072,Cosy Owl,Lemon,10% NH,Warning,"H317, H412, P273, P501",,May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
CO1073,Cosy Owl,Lemon Lavender,10% NH,Warning,"H317, P273, P501","CITRAL, L-LIMONENE, TETRAHYDROLINALOOL",May cause an allergic skin reaction.,GHS07
CO1074,Cosy Owl,Lemon Sherbet,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1075,Cosy Owl,Lenora Blue,10% NH,Warning,"H317, P273, P501","4-TERT-BUTYLCYCLOHEXYL ACETATE, ALPHA-ISOMETHYL IONONE, BENZYL SALICYLATE, CITRONELLOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",May cause an allergic skin reaction.,GHS07
CO1076,Cosy Owl,Lime Basil Mandarin,10% NH,Warning,H317,,May cause an allergic skin reaction.,GHS07
CO1077,Cosy Owl,Lost Cherry Type,10% NH,Warning,"H412, P273","Coumarin crystals, Iso E Super",Harmful to aquatic life with long lasting effects.,
CO1078,Cosy Owl,Mandarin Orange,10% NH,Warning,"H317, P273, P501","CITRAL, DELTA-DAMASCONE, ISOHEXENYL CYCLOHEXENYL CARBOXALDEHYDE, LINALOOL, LINALYL ACETATE, NEROL",May cause an allergic skin reaction.,GHS07
CO1079,Cosy Owl,Mango,10% NH,Warning,"H412, P273, P501","Geraniol, Nerol, Lemon oil, Hexyl salicylate, Linalool",Harmful to aquatic life with long lasting effects.,
CO1080,Cosy Owl,Mango Passionfruit,10% NH,Warning,"H412, P273","ETHYL METHYLPHENYLGLYCIDATE, COUMARIN, LIMONENE",Harmful to aquatic life with long lasting effects.,
CO1081,Cosy Owl,Marshmallow,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1082,Cosy Owl,Midnight Fright,10% NH,Warning,"H412, P273, P501","ETHYL METHYLPHENYLGLYCIDATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",Harmful to aquatic life with long lasting effects.,
CO1083,Cosy Owl,Midnight Passion,10% NH,Warning,"H317, H412, P273, P501",,May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
CO1084,Cosy Owl,Miss Fragrance,10% NH,Warning,"H412, P273, P501","Ethyl linalool, Iso E Super, Linalyl acetate, Linalool",Harmful to aquatic life with long lasting effects.,
CO1085,Cosy Owl,Mr Boss,10% NH,Warning,"H412, P273, P501","1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2naphthyl)ethan-1-one, 3,7-dimethyl-1,6-octadien-3-ol, Cinnamaldehyde, Linalyl acetate, [3R-(3a,3ab,7b,8aa)]-1-(2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-1H-3a,7methanoazulen-5-yl)ethan-1-one",Harmful to aquatic life with long lasting effects.,
CO1086,Cosy Owl,Mulled Wine,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
